season,site,parameter,t_mean01,t_mean99,t_slope_behind_01,t_slope_behind_99,t_sd_0199
fall_baseflow,archery,Chl-a Fluorescence,1.2364729309082,7.26494884490968,-0.267351769606272,0.254679202874501,0.7459339686921098
monsoon,archery,Chl-a Fluorescence,0.202777075394988,11.0251211166382,-0.252372724850973,0.243861284573874,1.3327625607289406
snowmelt,archery,Chl-a Fluorescence,0.022499302085489,3.34143972158432,-0.0677255867322286,0.0676395306984584,0.7249214199687385
winter_baseflow,archery,Chl-a Fluorescence,0.0170399899594486,10.8432017803192,-0.454937652826309,0.448478298425671,1.8444859699512839
fall_baseflow,archery,Depth,0.613150946044922,1.00731624710083,-4.55625725936889e-4,8.26091630554203e-4,0.10284794839960698
monsoon,archery,Depth,0.238756020712852,1.290441901474,-9.2247164878845e-4,0.00164513003368378,0.18601255504770114
snowmelt,archery,Depth,0.141760600543499,2.10390431840515,-0.00250483824119568,0.00332532838468552,0.5502632176034336
winter_baseflow,archery,Depth,0.403329767103195,0.943063508405686,-4.84484865570069e-4,9.64178066253666e-4,0.10387814637787302
fall_baseflow,archery,DO,5.49391954421997,12.0615551757812,-0.0339454212188721,0.0573437627156576,1.457681998954374
monsoon,archery,DO,4.95261077880859,12.4479568481445,-0.0269252204895021,0.0329293104807536,1.2632899085787008
snowmelt,archery,DO,6.0448939704895,9.95599534034729,-0.0141461086273193,0.0173848810195923,0.7403077245913718
winter_baseflow,archery,DO,0,15.9405082321167,-0.0815092557271322,0.149087956746419,1.629172409576005
monsoon,archery,FDOM Fluorescence,0.479030102193356,0.753873825669289,-0.00254799564679464,0.0030563849210739,0.061503524257158944
snowmelt,archery,FDOM Fluorescence,0.452638278901577,1.48351700305939,-0.00602646636962889,0.00704429578781132,0.3024192812557468
fall_baseflow,archery,ORP,0.294454188232422,0.450008104248047,-3.76448852539062e-4,2.99328755696616e-4,0.0272271815923069
monsoon,archery,ORP,0.240967178344727,0.434478607177734,-0.00130483256022136,7.52677408854169e-4,0.0419250966777739
snowmelt,archery,ORP,-0.191728465118408,0.464507836914062,-0.00197052775065104,0.00111012656656901,0.12135019635131594
winter_baseflow,archery,ORP,0.164041499786377,0.40017349395752,-0.00198528011067708,0.00114654067993164,0.07129827201059079
fall_baseflow,archery,pH,7.81999633789063,8.58754890441895,-0.00310582605997721,0.00347098286946614,0.18042057711985846
monsoon,archery,pH,7.67671203613281,8.82332935333252,-0.00400784810384115,0.00451976776123047,0.2547854263158863
snowmelt,archery,pH,7.57155983924866,8.2771605682373,-0.00367539405822754,0.00391227340698241,0.1429532458156494
winter_baseflow,archery,pH,0,9.03094118118286,-0.00514941872490777,0.00620194498697915,0.3036116990760117
fall_baseflow,archery,Specific Conductivity,222.38589050293,1471.94299804687,-1.55699995930989,0.855575764973958,342.30459736634083
monsoon,archery,Specific Conductivity,200.030502319336,1615.50207519531,-2.60043782552083,1.16606048583985,339.2751241070799
snowmelt,archery,Specific Conductivity,85.640445022583,1568.64668334961,-3.31494376627604,1.41968383789062,213.86100499405646
winter_baseflow,archery,Specific Conductivity,0,1738.61690795898,-2.37002433268229,1.71286979166668,441.6541478434503
fall_baseflow,archery,Temperature,1.87142502784729,17.8545935058594,-0.00850056584676107,0.0182229919433593,3.66135858596996
monsoon,archery,Temperature,13.7471019744873,23.7049114227295,-0.011912338256836,0.0212399342854815,2.1285627122879287
snowmelt,archery,Temperature,8.30396555900574,19.9895721244812,-0.0109296976725261,0.0200836022694906,2.4398793037549313
winter_baseflow,archery,Temperature,3.04092726707458,16.0967336654663,-0.0112697118123372,0.0252298831939697,3.0896897050163545
monsoon,archery,Turbidity,5.4912904882431,14.522942647934,-0.525935842196147,0.512662812868754,1.7049290541832791
snowmelt,archery,Turbidity,0,527.894375610352,-10.8048844401042,10.522270711263,154.7325532304437
winter_baseflow,archery,Turbidity,0.114708780050278,65.3590194702149,-2.82245861828327,3.11749656248092,8.38479484314309
fall_baseflow,archery virridy,Chl-a Fluorescence,0.020598878711462,7.91083616256713,-0.445390470661223,0.42458731230721,1.5905646806063485
monsoon,archery virridy,Chl-a Fluorescence,0.0106881619617343,7.01716264724732,-0.407364054831366,0.384516478578251,1.2085945658278896
snowmelt,archery virridy,Chl-a Fluorescence,0.0139280632324517,4.40466503143311,-0.200099860668182,0.172833269834518,0.5334794360202093
winter_baseflow,archery virridy,Chl-a Fluorescence,0.0227878817543387,12.0261558532715,-0.564070823033651,0.537369707743326,1.674017060020567
fall_baseflow,archery virridy,Depth,0.183199870010376,0.494093698267937,-4.57514346122742e-4,5.97203263950341e-4,0.08634451119746243
monsoon,archery virridy,Depth,0.184726017953396,0.6059958064785,-9.64746733093261e-4,0.00162175541877746,0.09354832497349748
snowmelt,archery virridy,Depth,0.112640263826609,1.29552007115936,-0.00214960822830202,0.00361305330047609,0.24931956434269995
winter_baseflow,archery virridy,Depth,0.195720945854187,0.971824169311524,-5.3881553668976e-4,0.00104809135513305,0.18684806994505485
fall_baseflow,archery virridy,FDOM Fluorescence,0.639903650283813,1.98953659772873,-0.00533341534932454,0.00435751597086589,0.2999498925292885
monsoon,archery virridy,FDOM Fluorescence,0.517902510166168,1.8062220954895,-0.00606878153483073,0.00672596120834351,0.3471511152391878
snowmelt,archery virridy,FDOM Fluorescence,0.467444417774677,2.09983021020889,-0.0102600129445394,0.0110131475925446,0.36624686701924714
winter_baseflow,archery virridy,FDOM Fluorescence,0.648255511522293,2.0465238571167,-0.00795943212509156,0.00871406078338624,0.27974095473073346
